premise,hypothesis,label,P-Verbal,P-Non-verbal,P-Analytic,P-Synthetic,P-Clausal,P-Sub-clausal,P-Ordinary,P-Meta-linguistic,Unnamed: 13,H-Verbal,H-Non-verbal,H-Analytic,H-Synthetic,H-Clausal,H-Sub-clausal,H-Ordinary,H-Meta-linguistic,Unnamed: 22,Construction,Construction Subtype,Indefinite quantifier change,Negator addition or deletion,Negator position change,Clause or sub-clause deletion,Negator token change,Comparative quantifier change,Focus particle change,Lexical change,Numerical quantifier change,Syntactical changes,Quantification
Not often do we see her lose her cool like that.,We do not see her often.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not all,0,0,1,1,0,0,0,0,0,0,1
Not often do we see her lose her cool like that.,We do not see her lose her cool like him often.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not all,0,0,1,0,0,0,0,1,0,0,1
Not one person supported the proposal.,Some people supported the proposal.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,1,0,0,0,0,0,0,0,0,1
Not one person supported the proposal.,Some people did not support the proposal.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,1,0,1,0,0,0,0,0,0,0,1
Not one person supported the proposal.,Everyone supported the proposal.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,1,0,0,0,0,0,0,0,0,1
Not one person supported the proposal.,Everyone did not support the proposal.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,1,0,1,0,0,0,0,0,0,0,1
Not one person supported the proposal.,No one supported the proposal.,entailment,0,1,1,0,0,1,1,0,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,not + quantifier,not one,1,0,0,0,1,0,0,0,0,0,1
Not one person supported the proposal.,No one did not support the proposal.,contradiction,0,1,1,0,0,1,1,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,not + quantifier,not one,0,1,0,0,1,0,0,0,0,0,1
Not one person supported the proposal.,One person did not support the proposal.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,0,1,0,0,0,0,0,0,0,1
Not one person supported the proposal.,One person supported the proposal.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,1,0,0,0,0,0,0,0,0,1
Not one person supported the proposal.,Two people did not support the proposal.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,0,1,0,0,0,0,0,1,0,1
Not one person supported the proposal.,Two people supported the proposal.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,1,0,0,0,0,0,0,1,0,1
Not one person supported the proposal.,Twenty people did not support the proposal.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,0,1,0,0,0,0,0,1,0,1
Not one person supported the proposal.,Twenty people supported the proposal.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,1,0,0,0,0,0,0,1,0,1
They had found not one mistake.,They had found more than one mistake.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,1,0,0,0,1,0,0,0,0,1
They had found not one mistake.,They had not found more than one mistake.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,0,1,0,0,1,0,0,0,0,1
They had found not one mistake.,They had found less than one mistake.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,1,0,0,0,1,0,0,0,0,1
They had found not one mistake.,They had found two mistakes.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,1,0,0,0,0,0,0,1,0,1
They had found not one mistake.,They had not found two mistakes.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,0,1,0,0,0,0,0,1,0,1
They had found not one mistake.,They had found twenty mistakes.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,1,0,0,0,0,0,0,1,0,1
They had found not one mistake.,They had not found twenty mistakes.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,0,1,0,0,0,0,0,1,0,1
They had found not one mistake.,They had found some mistakes.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,1,0,0,0,0,0,0,0,0,1
They had found not one mistake.,They had found not all mistakes.,neutral,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + quantifier,not one,1,0,0,0,0,0,0,0,0,0,1
They had found not one mistake.,They had found all mistakes.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,1,0,0,0,0,0,0,0,0,1
They had found not one mistake.,They had not found even one mistake.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,0,1,0,0,0,1,0,0,0,1
They had found not one mistake.,They had found not every mistake.,neutral,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + quantifier,not one,1,0,0,0,0,0,0,0,0,0,1
They had found not one mistake.,They had found every mistake.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,1,0,0,0,0,0,0,0,0,1
They had found not one mistake.,They had not found only one mistake.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,0,1,0,0,0,1,0,0,0,1
They had found not one mistake.,They had not found any mistakes.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,1,0,1,0,0,0,0,0,0,0,1
They had found not one mistake.,They had not found some mistakes.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,1,0,1,0,0,0,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",Three of them made the mistake.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,0,0,1,0,0,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",Three of them did not make the mistake.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,1,0,1,0,0,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",More than three of them made the mistake.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,0,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",More than two of them made the mistake.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,0,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",More than one of them made the mistake.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,0,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",More than three of them did not make the mistake.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,0,1,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",More than two of them did not make the mistake.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,1,1,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",More than one of them did not make the mistake.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,1,1,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",Less than three of them made the mistake.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,0,0,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",Less than two of them made the mistake.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,0,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",Less than four of them made the mistake.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,0,0,1,0,1,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",One of them made the mistake.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,0,0,1,0,0,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",Two of them made the mistake.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not one,1,0,0,1,0,0,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",One of them did not make the mistake.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,1,1,0,1,0,0,0,0,0,0,1
"Not one, not two, but three of them made the mistake.",Two of them did not make the mistake.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not one,1,1,0,1,0,0,0,0,0,0,1
Not two years ago this company was ranked in the top ten.,Less than two years ago this company was ranked in the top ten.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,1,0,0,0,0,1
Not two years ago this company was ranked in the top ten.,More than two years ago this company was ranked in the top ten.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,1,0,0,0,0,1
Not two years ago this company was ranked in the top ten.,Less than two years ago this company was not ranked in the top ten.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,1,0,0,0,0,1
Not two years ago this company was ranked in the top ten.,More than two years ago this company was not ranked in the top ten.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,1,0,0,0,0,1
Not two years ago this company was ranked in the top ten.,Two years ago this company was not ranked in the top ten.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,0,0,0,0,0,1
Not two years ago this company was ranked in the top ten.,Two years ago this company was ranked in the top ten.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,0,0,0,0,0,1
Not two years ago this company was ranked in the top ten.,Twenty years ago this company was not ranked in the top ten.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,0,0,0,1,0,1
Not two years ago this company was ranked in the top ten.,Twenty years ago this company was ranked in the top ten.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,0,0,0,1,0,1
Not two years ago this company was ranked in the top ten.,One year ago this company was ranked in the top ten.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,0,0,0,1,0,1
Not two years ago this company was ranked in the top ten.,One year ago this company was not ranked in the top ten.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,0,0,0,1,0,1
He was here not ten minutes ago.,He was here less than ten minutes ago.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,1,0,0,0,0,1
He was here not ten minutes ago.,He was not here less than ten minutes ago.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,1,0,0,0,0,1
He was here not ten minutes ago.,He was here more than ten minutes ago.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,1,0,0,0,0,1
He was here not ten minutes ago.,He was not here more than ten minutes ago.,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,1,0,0,0,0,1
He was here not ten minutes ago.,He was not here ten minutes ago.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,0,0,0,0,0,1
He was here not ten minutes ago.,He was here ten minutes ago.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,0,0,0,0,0,1
He was here not ten minutes ago.,He was here one minute ago.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,0,0,0,1,0,1
He was here not ten minutes ago.,He was not here one minute ago,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,0,0,0,1,0,1
He was here not ten minutes ago.,He was here twenty minutes ago.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not two,0,1,0,0,0,0,0,0,1,0,1
He was here not ten minutes ago.,He was not here twenty minutes ago,neutral,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not two,0,0,1,0,0,0,0,0,1,0,1
His speech had caused not a little confusion.,His speech had not caused a little confusion.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not a little,0,0,1,0,0,0,0,0,0,0,0
His speech had caused not a little confusion.,His speech had caused a little confusion.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not a little,0,1,0,0,0,0,0,0,0,0,0
His speech had caused not a little confusion.,His speech had not caused confusion.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not a little,1,0,1,0,0,0,0,0,0,0,0
His speech had caused not a little confusion.,His speech had caused confusion.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not a little,1,1,0,0,0,0,0,0,0,0,0
His speech had caused not a little confusion.,His speech had caused a not little confusion.,entailment,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + quantifier,not a little,0,0,1,0,0,0,0,0,0,0,0
His speech had caused not a little confusion.,His speech had caused much confusion.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not a little,1,1,0,0,0,0,0,0,0,0,0
His speech had caused not a little confusion.,His speech had not caused much confusion.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not a little,1,0,1,0,0,0,0,0,0,0,0
A mistake would be costly and not a little embarrassing.,A mistake would not be costly and a little embarassing,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not a little,0,0,1,0,0,0,0,0,0,0,0
A mistake would be costly and not a little embarrassing.,A mistake would be costly and very embarassing,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + quantifier,not a little,1,1,0,0,0,0,0,0,0,0,0
A mistake would be costly and not a little embarrassing.,A mistake would not be costly and very embarassing,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not a little,1,0,1,0,0,0,0,0,0,0,0
A mistake would be costly and not a little embarrassing.,A mistake would not be costly and not a little embarassing,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + quantifier,not a little,0,1,0,0,0,0,0,0,0,0,0
Not even Ed approved of the plan,Even Ed did not approve of the plan.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + focus particle,not even,0,0,1,0,0,0,0,0,0,0,0
Not even Ed approved of the plan,Even Ed approved of the plan.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + focus particle,not even,0,1,0,0,0,0,0,0,0,0,0
Not even Ed approved of the plan,Not only Ed approved of the plan.,contradiction,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + focus particle,not even,0,0,0,0,0,0,1,0,0,0,0
Not even Ed approved of the plan,Only Ed approved of the plan.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + focus particle,not even,0,1,0,0,0,0,1,0,0,0,0
Not even Ed approved of the plan,Only Ed did not approve of the plan.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + focus particle,not even,0,0,1,0,0,0,1,0,0,0,0
Not even Ed approved of the plan,Not even Ed or Sally approve of the plan.,neutral,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + focus particle,not even,0,0,0,0,0,0,0,1,0,0,0
Not only Ed approved of the plan.,Ed was not the only one who approved of the plan.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + focus particle,not only,0,0,1,0,0,0,0,0,0,0,0
Not only Ed approved of the plan.,Not even Ed approved of the plan.,contradiction,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + focus particle,not only,0,0,0,0,0,0,1,0,0,0,0
Not only Ed approved of the plan.,Ed approved of the plan.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + focus particle,not only,0,1,0,0,0,0,1,0,0,0,0
Not only Ed approved of the plan.,Ed not only approved of the plan.,neutral,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + focus particle,not only,0,0,1,0,0,0,0,0,0,0,0
Not only Ed approved of the plan.,Only Ed approved of the plan.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + focus particle,not only,0,1,0,0,0,0,0,0,0,0,0
Not only Ed approved of the plan.,Ed and some others approved of the plan.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + focus particle,not only,1,1,0,0,0,0,1,0,0,0,0
Not even then did he lose patience.,"Even then, he did not lose patience.",entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + focus particle,not even,0,0,1,0,0,0,0,0,0,0,0
Not even then did he lose patience.,He did not lose patience even then.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + focus particle,not even,0,0,1,0,0,0,0,0,0,0,0
Not even then did he lose patience.,Not only then did he lose patience.,contradiction,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + focus particle,not even,0,0,0,0,0,0,1,0,0,0,0
Not even then did he lose patience.,Only then did he lose patience.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + focus particle,not even,0,1,0,0,0,0,1,0,0,0,0
"Not only was the acting appalling, the movie was far too long.",The movie was far too long and the acting was appalling.,entailment,0,1,1,0,0,1,1,0,,,,,,,,,,,not + focus particle,not only,0,1,0,0,0,0,1,0,0,0,0
"Not only was the acting appalling, the movie was far too long.",The movie was not only far too long but the acting was also appalling.,entailment,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + focus particle,not only,0,0,1,0,0,0,0,0,0,0,0
"Not only was the acting appalling, the movie was far too long.",The movie was far too long but the acting was not appalling.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + focus particle,not only,0,0,1,0,0,0,1,0,0,0,0
"Not only was the acting appalling, the movie was far too long.",The movie was not far too long but the acting was appalling.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + focus particle,not only,0,0,1,0,0,0,1,0,0,0,0
"Not only was the acting appalling, the movie was far too long.",The movie was not far too long and the acting was not appalling.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + focus particle,not only,0,1,0,0,0,0,1,0,0,0,0
"Not only was the acting appalling, the movie was far too long.",The movie was too long and not even the acting was not appalling.,entailment,0,1,1,0,0,1,1,0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,not + focus particle,not only,0,1,1,0,0,0,1,0,0,0,0
"Not only was the acting appalling, the movie was far too long.",The movie was not too long and not even the acting was appalling.,contradiction,0,1,1,0,0,1,1,0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,not + focus particle,not only,0,1,1,0,0,0,1,0,0,0,0
We had a not very amicable discussion.,We did not have a very amicable discussion.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + degree expression,not very,0,0,1,0,0,0,0,0,0,0,0
We had a not very amicable discussion.,We did not have a discussion.,contradiction,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + degree expression,not very,0,0,1,0,0,0,0,1,0,0,0
We had a not very amicable discussion.,We had a very amicable discussion.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + degree expression,not very,0,1,0,0,0,0,0,0,0,0,0
We had a not very amicable discussion.,We had a very not amicable discussion.,neutral,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + degree expression,not very,0,0,1,0,0,0,0,0,0,0,0
It somehow sounded not quite right.,It somehow did not sound quite right.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + degree expression,not very,0,0,1,0,0,0,0,0,0,0,0
It somehow sounded not quite right.,It somehow did not sound right.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + degree expression,not very,1,0,1,0,0,0,0,0,0,0,0
It somehow sounded not quite right.,It somehow sounded quite not right.,neutral,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + degree expression,not very,0,0,1,0,0,0,0,0,0,0,0
It somehow sounded not quite right.,It somehow sounded quite right.,contradiction,0,1,1,0,0,1,1,0,,,,,,,,,,,not + degree expression,not very,0,1,0,0,0,0,0,0,0,0,0
It was so not funny.,It was not so funny.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + degree expression,not very,0,0,1,0,0,0,0,0,0,0,0
It was so not funny.,It was not funny.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + degree expression,not very,1,0,0,0,0,0,0,0,0,0,0
It was so not funny.,It was so boring.,neutral,0,1,1,0,0,1,1,0,,,,,,,,,,,not + degree expression,not very,0,1,0,0,0,0,0,1,0,0,0
I found his story not wholly convincing.,I did not find his story wholly convincing.,entailment,0,1,1,0,0,1,1,0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,not + degree expression,not very,0,0,1,0,0,0,0,0,0,0,0
I found his story not wholly convincing.,I found his story wholly not convincing.,contradiction,0,1,1,0,0,1,1,0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,not + degree expression,not very,0,0,1,0,0,0,0,0,0,0,0
