premise	hypothesis	label
You see, I know that's not true.	You see, I know that's true.	1
You see, I know that's not true.	You see, I know that's false.	0
You see, I know that's not true.	You see, I know that's not untruthful.	1
You see, I know that's not true.	You see, I know that's untruthful.	0
It's not what you would call ethical.	It's not what you would call unethical.	1
It's not what you would call ethical.	It's what you would call ethical.	1
It's not what you would call ethical.	It's what you would call unethical.	0
Something's not right to me.	Something's not incorrect to me.	1
Something's not right to me.	Something's right to me.	1
Something's not right to me.	Something's incorrect to me.	0
Something's not right to me.	Something's not wrong to me.	1
Something's not right to me.	Something's wrong to me.	0
Um, I'm not sure.	Um, I'm not uncertain.	1
Um, I'm not sure.	Um, I'm sure.	1
Um, I'm not sure.	Um, I'm uncertain.	0
Um, I'm not sure.	Um, I'm not unsure.	1
Um, I'm not sure.	Um, I'm unsure.	0
He's not dead.	He's not alive.	1
He's not dead.	He's dead.	1
He's not dead.	He's alive.	0
She's not bright.	She's not dull.	1
She's not bright.	She's bright.	1
She's not bright.	She's dull.	0
She's not bright.	She's not dimmed.	1
She's not bright.	She's dimmed.	0
He's not like the other guys.	He's not different from the other guys.	1
He's not like the other guys.	He's like the other guys.	1
He's not like the other guys.	He's different from the other guys.	0
He's not like the other guys.	He's not unlike the other guys.	1
He's not like the other guys.	He's unlike the other guys.	0
That's not important.	That's not unimportant.	1
That's not important.	That's important.	1
That's not important.	That's unimportant.	0
That's not important.	That's not insignificant.	1
That's not important.	That's insignificant.	0
That's not important.	That's not noncrucial.	1
That's not important.	That's noncrucial.	0
That's not fair, Nance.	That's not unfair, Nance.	1
That's not fair, Nance.	That's fair, Nance.	1
That's not fair, Nance.	That's unfair, Nance.	0
That's not fair, Nance.	That's not foul, Nance.	1
That's not fair, Nance.	That's foul, Nance.	0
But something's not right.	But something's not incorrect.	1
But something's not right.	But something's right.	1
But something's not right.	But something's incorrect.	0
But something's not right.	But something's not wrong.	1
But something's not right.	But something's wrong.	0
It's not a bad idea.	It's not a good idea.	1
It's not a bad idea.	It's a bad idea.	1
It's not a bad idea.	It's a good idea.	0
This is not a good sign.	This is not a bad sign.	1
This is not a good sign.	This is a good sign.	1
This is not a good sign.	This is a bad sign.	0
This is not a good sign.	This is not an evil sign.	1
This is not a good sign.	This is an evil sign.	0
That's not wise.	That's not foolish.	1
That's not wise.	That's wise.	1
That's not wise.	That's foolish.	0
It's not attractive.	It's not unattractive.	1
It's not attractive.	It's attractive.	1
It's not attractive.	It's unattractive.	0
It's not attractive.	It's not repulsive.	1
It's not attractive.	It's repulsive.	0
No, that's not a good idea.	No, that's not a bad idea.	1
No, that's not a good idea.	No, that's a good idea.	1
No, that's not a good idea.	No, that's a bad idea.	0
No, that's not a good idea.	No, that's not an evil idea.	1
No, that's not a good idea.	No, that's an evil idea.	0
You're not bad yourself.	You're not good yourself.	1
You're not bad yourself.	You're bad yourself.	1
You're not bad yourself.	You're good yourself.	0
That's not bad, is it?	That's not good, is it?	1
That's not bad, is it?	That's bad, isn't it?	1
That's not bad, is it?	That's good, isn't it?	0
This is not logical.	This is not illogical.	1
This is not logical.	This is logical.	1
This is not logical.	This is illogical.	0
This is not logical.	This is not incoherent.	1
This is not logical.	This is incoherent.	0
They are not dead.	They are not alive.	1
They are not dead.	They are dead.	1
They are not dead.	They are alive.	0
She's not stable.	She's not unstable.	1
She's not stable.	She's stable.	1
She's not stable.	She's unstable.	0
She's not possible.	She's not impossible.	1
She's not possible.	She's possible.	1
She's not possible.	She's impossible.	0
She's not possible.	She's not actual.	1
She's not possible.	She's actual.	0
But it's not fair.	But it's not unfair.	1
But it's not fair.	But it's fair.	1
But it's not fair.	But it's unfair.	0
But it's not fair.	But it's not foul.	1
But it's not fair.	But it's foul.	0
It is not convenient.	It is not inconvenient.	1
It is not convenient.	It is convenient.	1
It is not convenient.	It is inconvenient.	0
It is not convenient.	It is not incommodious.	1
It is not convenient.	It is incommodious.	0
It's not a big deal.	It's not unimportant.	1
It's not a big deal.	It's a big deal.	1
It's not a big deal.	It's unimportant.	0
It's not a big deal.	It's not insignificant.	1
It's not a big deal.	It's insignificant.	0
It's not a big deal.	It's not a small deal.	1
It's not a big deal.	It's a small deal.	0
It's not a big deal.	It's not a little deal.	1
It's not a big deal.	It's a little deal.	0
It's not necessary.	It's not unnecessary.	1
It's not necessary.	It's necessary.	1
It's not necessary.	It's unnecessary.	0
They're not dead.	They're not alive.	1
They're not dead.	They're dead.	1
They're not dead.	They're alive.	0
It's not difficult.	It's not easy.	1
It's not difficult.	It's difficult.	1
It's not difficult.	It's easy.	0
It's not difficult.	It's not manageable.	1
It's not difficult.	It's manageable.	0
Be not afraid of him.	Be not unafraid of him.	1
Be not afraid of him.	Be afraid of him.	1
Be not afraid of him.	Be unafraid of him.	0
It's not decent.	It's not indecent.	1
It's not decent.	It's decent.	1
It's not decent.	It's indecent.	0
You're not serious.	You're not frivolous.	1
You're not serious.	You're serious.	1
You're not serious.	You're frivolous.	0
You're not serious.	You're not playful.	1
You're not serious.	You're playful.	0
We're not safe, are we?	We're not in danger, are we?	1
We're not safe, are we?	We're safe, aren't we?	1
We're not safe, are we?	We're in danger, aren't we?	0
We're not safe, are we?	We're not out, are we?	1
We're not safe, are we?	We're out, aren't we?	0
It's not a good time.	It's not a bad time.	1
It's not a good time.	It's a good time.	1
It's not a good time.	It's a bad time.	0
It's not a good time.	It's not an evil time.	1
It's not a good time.	It's an evil time.	0
I'm not good at this.	I'm not bad at this.	1
I'm not good at this.	I'm good at this.	1
I'm not good at this.	I'm bad at this.	0
I'm not good at this.	I'm not evil at this.	1
I'm not good at this.	I'm evil at this.	0
This is not easy.	This is not difficult.	1
This is not easy.	This is easy.	1
This is not easy.	This is difficult.	0
This is not easy.	This is not uneasy.	1
This is not easy.	This is uneasy.	0
That's not legal.	That's not illegal.	1
That's not legal.	That's legal.	1
That's not legal.	That's illegal.	0
She is not stable.	She is not unstable.	1
She is not stable.	She is stable.	1
She is not stable.	She is unstable.	0
She's not safe.	She's not in danger.	1
She's not safe.	She's safe.	1
She's not safe.	She's in danger.	0
She's not safe.	She's not out.	1
She's not safe.	She's out.	0
But it's not right.	But it's not incorrect.	1
But it's not right.	But it's right.	1
But it's not right.	But it's incorrect.	0
But it's not right.	But it's not wrong.	1
But it's not right.	But it's wrong.	0
It is not natural.	It is not unnatural.	1
It is not natural.	It is natural.	1
It is not natural.	It is unnatural.	0
It is not natural.	It is not artificial.	1
It is not natural.	It is artificial.	0
It is not natural.	It is not supernatural.	1
It is not natural.	It is supernatural.	0
It is not natural.	It is not sharp.	1
It is not natural.	It is sharp.	0
That's not fair, you're hiding.	That's not unfair, you're hiding.	1
That's not fair, you're hiding.	That's fair, you're hiding.	1
That's not fair, you're hiding.	That's unfair, you're hiding.	0
That's not fair, you're hiding.	That's not foul, you're hiding.	1
That's not fair, you're hiding.	That's foul, you're hiding.	0
You're not afraid of him?	You're not unafraid of him?	1
You're not afraid of him?	You're afraid of him?	1
You're not afraid of him?	You're unafraid of him?	0
But it is not possible.	But it is not impossible.	1
But it is not possible.	But it is possible.	1
But it is not possible.	But it is impossible.	0
But it is not possible.	But it is not actual.	1
But it is not possible.	But it is actual.	0
I'm not perfect.	I'm not imperfect.	1
I'm not perfect.	I'm perfect.	1
I'm not perfect.	I'm imperfect.	0
It's not much further.	It's not near.	1
It's not much further.	It's much further.	1
It's not much further.	It's near.	0
It's not...going to be easy.	It's not...going to be difficult.	1
It's not...going to be easy.	It's...going to be easy.	1
It's not...going to be easy.	It's...going to be difficult.	0
It's not...going to be easy.	It's not...going to be uneasy.	1
It's not...going to be easy.	It's...going to be uneasy.	0
It's not unusual.	It's not usual.	1
It's not unusual.	It's unusual.	1
It's not unusual.	It's usual.	0
It's not unusual.	It's not familiar.	1
It's not unusual.	It's familiar.	0
You know that's not true.	You know that's not false.	1
You know that's not true.	You know that's true.	1
You know that's not true.	You know that's false.	0
You know that's not true.	You know that's not untruthful.	1
You know that's not true.	You know that's untruthful.	0
It's not normal behaviour.	It's not abnormal behaviour.	1
It's not normal behaviour.	It's normal behaviour.	1
It's not normal behaviour.	It's abnormal behaviour.	0
It's not normal behaviour.	It's not paranormal behaviour.	1
It's not normal behaviour.	It's paranormal behaviour.	0
That's not good, is it?	That's not bad, is it?	1
That's not good, is it?	That's good, isn't it?	1
That's not good, is it?	That's bad, isn't it?	0
That's not good, is it?	That's not evil, is it?	1
That's not good, is it?	That's evil, isn't it?	0
It is not illegal.	It is not legal.	1
It is not illegal.	It is illegal.	1
It is not illegal.	It is legal.	0
It's not healthy for you.	It's not unhealthy for you.	1
It's not healthy for you.	It's healthy for you.	1
It's not healthy for you.	It's unhealthy for you.	0
Ooh, that's not good.	Ooh, that's not bad.	1
Ooh, that's not good.	Ooh, that's good.	1
Ooh, that's not good.	Ooh, that's bad.	0
Ooh, that's not good.	Ooh, that's not evil.	1
Ooh, that's not good.	Ooh, that's evil.	0
This was not a good idea.	This was not a bad idea.	1
This was not a good idea.	This was a good idea.	1
This was not a good idea.	This was a bad idea.	0
This was not a good idea.	This was not an evil idea.	1
This was not a good idea.	This was an evil idea.	0
That's not respectful.	That's not disrespectful.	1
That's not respectful.	That's respectful.	1
That's not respectful.	That's disrespectful.	0
You're not sane.	You're not insane.	1
You're not sane.	You're sane.	1
You're not sane.	You're insane.	0
Life's not fair.	Life's not unfair.	1
Life's not fair.	Life's fair.	1
Life's not fair.	Life's unfair.	0
Why he said you're not available?	Why he said you're not unavailable?	1
Why he said you're not available?	Why he said you're available?	1
Why he said you're not available?	Why he said you're unavailable?	0
She's not ready.	She's not unready.	1
She's not ready.	She's ready.	1
She's not ready.	She's unready.	0
You're not being fair.	You're not being unfair.	1
You're not being fair.	You're being fair.	1
You're not being fair.	You're being unfair.	0
Oh, he's not fictional.	Oh, he's not nonfictional.	1
Oh, he's not fictional.	Oh, he's fictional.	1
Oh, he's not fictional.	Oh, he's nonfictional.	0
Why would he say it if it's not true?	Why would he say it if it's not false?	1
Why would he say it if it's not true?	Why would he say it if it's true?	1
Why would he say it if it's not true?	Why would he say it if it's false?	0
Why would he say it if it's not true?	Why would he say it if it's not untruthful?	1
Why would he say it if it's not true?	Why would he say it if it's untruthful?	0
I'm not good at heights.	I'm not bad at heights.	1
I'm not good at heights.	I'm good at heights.	1
I'm not good at heights.	I'm bad at heights.	0
I'm not good at heights.	I'm not evil at heights.	1
I'm not good at heights.	I'm evil at heights.	0
It's not normal.	It's not abnormal.	1
It's not normal.	It's normal.	1
It's not normal.	It's abnormal.	0
It's not normal.	It's not paranormal.	1
It's not normal.	It's paranormal.	0
She's not guilty.	She's not innocent.	1
She's not guilty.	She's guilty.	1
She's not guilty.	She's innocent.	0
Oh, that's not right.	Oh, that's not incorrect.	1
Oh, that's not right.	Oh, that's right.	1
Oh, that's not right.	Oh, that's incorrect.	0
Oh, that's not right.	Oh, that's not wrong.	1
Oh, that's not right.	Oh, that's wrong.	0
Oh, that's not possible.	Oh, that's not impossible.	1
Oh, that's not possible.	Oh, that's possible.	1
Oh, that's not possible.	Oh, that's impossible.	0
Oh, that's not possible.	Oh, that's not actual.	1
Oh, that's not possible.	Oh, that's actual.	0
That will not be necessary.	That will not be unnecessary.	1
That will not be necessary.	That will be necessary.	1
That will not be necessary.	That will be unnecessary.	0
If my information is not correct.	If my information is not incorrect.	1
If my information is not correct.	If my information is correct.	1
If my information is not correct.	If my information is incorrect.	0
If my information is not correct.	If my information is not wrong.	1
If my information is not correct.	If my information is wrong.	0
The boy told you, we're not open.	The boy told you, we're not shut.	1
The boy told you, we're not open.	The boy told you, we're open.	1
The boy told you, we're not open.	The boy told you, we're shut.	0
