sentence	negated
Not even Ed approved of the plan	Not only Ed approved of the plan.
Not even Ed approved of the plan	Only Ed approved of the plan.
Not even Ed approved of the plan	Only Ed did not approve of the plan.
Not only Ed approved of the plan.	Not even Ed approved of the plan.
Not only Ed approved of the plan.	Only Ed approved of the plan.
Not even then did he lose patience.	Not only then did he lose patience.
Not even then did he lose patience.	Only then did he lose patience.
Not only was the acting appalling, the movie was far too long.	The movie was far too long but the acting was not appalling.
Not only was the acting appalling, the movie was far too long.	The movie was not far too long but the acting was appalling.
Not only was the acting appalling, the movie was far too long.	The movie was not far too long and the acting was not appalling.
Not only was the acting appalling, the movie was far too long.	The movie was not too long and not even the acting was appalling.
We had a not very amicable discussion.	We did not have a discussion.
We had a not very amicable discussion.	We had a very amicable discussion.
It somehow sounded not quite right.	It somehow sounded quite right.
I found his story not wholly convincing.	I found his story wholly not convincing.
I found his story not wholly convincing.	I found his story wholly convincing.
He spoke not very confidently.	He spoke very not confidently.
He spoke not very confidently.	He spoke very confidently.
He spoke not very confidently.	He did not speak not very confidently.
Not many of them had been damaged.	Many of them had been damaged.
Not many of them had been damaged.	Some of them had not been damaged.
It was a not undistinguished private university with a large endowment.	It was an undistinguished private university with a large endowment.
She had a not inconsiderable income.	She had an inconsiderable income.
They had fixed the walls, and purchased some not inelegant furniture.	They had fixed the walls, and purchased some inelegant furniture.
Not unexpectedly, Charles was late for the meeting.	Unexpectedly, Charles was not late for the meeting.
Not unexpectedly, Charles was late for the meeting.	Unexpectedly, Charles was late for the meeting.
Not unexpectedly, Charles was late for the meeting.	Expectedly, Charles was not late for the meeting.
Not unreasonably, he asked for payment in advance.	Unreasonably, he did not ask for payment in advance.
Not unreasonably, he asked for payment in advance.	Unreasonably, he asked for payment in advance.
Not unreasonably, he asked for payment in advance.	Reasonably, he did not ask for payment in advance.
Not surprisingly, they didn't want any part of it.	Surprisingly, they didn't want any part of it.
Not surprisingly, they didn't want any part of it.	Surprisingly, they wanted some part of it.
Not surprisingly, they didn't want any part of it.	Not unsurprisingly, they didn't want any part of it.
Not surprisingly, they didn't want any part of it.	Not surprisingly, they wanted some part of it.
Not at any stage of the proceedings did she contemplate giving up.	She contemplated giving up at some stages of the proceedings.
Not for the first time, she felt utterly betrayed.	She had not felt utterly betrayed before.
Not for the first time, she felt utterly betrayed.	She did not feel utterly betrayed.
Not for the first time, she felt utterly betrayed.	She felt utterly betrayed for the first time.
Not an accomplished dancer, he moved rather clumsily.	Though not an accomplished dancer, he did not move clumsily.
Not an accomplished dancer, he moved rather clumsily.	Being an accomplished dancer, he did not move clumsily.
Not an accomplished dancer, he moved rather clumsily.	Though being an accomplished dancer, he moved rather clumsily.
Not under any illusions about the matter, he continued to be cautious.	Under some illusions about the matter, he did not continue to be cautious.
Not under any illusions about the matter, he continued to be cautious.	Under some illusions about the matter, he continued to be cautious.
Not under any illusions about the matter, he continued to be cautious.	Though not under any illusions about the matter, he did not continue to be cautious.
Not under any illusions about the matter, he continued to be cautious.	He didn't continue to be cautious.
We need someone not afraid of taking risks.	We do not need someone not afraid of taking risks.
We need someone not afraid of taking risks.	We need someone afraid of taking risks.
There are spare blankets in here, not that you'll have any need of them.	There are no spare blankets in here, not that you'll have any need of them.
There are spare blankets in here, not that you'll have any need of them.	There are no spare blankets in here, you'll need them.
There are spare blankets in here, not that you'll have any need of them.	There are spare blankets in here, you'll need them.
They are now leaving not on Friday, but on Saturday.	They are now leaving on Friday, not on Saturday.
They are now leaving not on Friday, but on Saturday.	They are now leaving not on Saturday, but on Friday.
They are now leaving not on Friday, but on Saturday.	They are now not leaving on Saturday.
They are now leaving not on Friday, but on Saturday.	They are now leaving on Friday.
They are now leaving on Saturday, not on Friday.	They are now leaving not on Saturday, but on Friday.
They are now leaving on Saturday, not on Friday.	They are now not leaving on Saturday.
They've invited you and your brother, but not me.	They've invited you and your brother, and me.
They've invited you and your brother, but not me.	They've invited not you and your brother, but me.
They've invited you and your brother, but not me.	They've invited not you and your brother, nor me.
They've invited you and your brother, but not me.	They've invited me.
They've invited you and your brother, but not me.	They have not invited your brother.
They've invited you and your brother, but not me.	They have not invited you.
They've invited you and your brother, but not me.	They've invited you and me, but not your brother.
The night turned cold under a sky with stars that shone, not twinkled, in the diamond-clear air.	The night turned cold under a sky with stars that twinkled, not shone, in the diamond-clear air.
The night turned cold under a sky with stars that shone, not twinkled, in the diamond-clear air.	The night turned cold under a sky with stars that did not shine, but twinkled, in the diamond-clear air.
The night turned cold under a sky with stars that shone, not twinkled, in the diamond-clear air.	The night turned cold under a sky with stars that shone and twinkled in the diamond-clear air.
She rarely goes out these days.	She never goes out these days.
She rarely goes out these days.	She doesn't go out these days.
This phone hardly lags.	This phone never lags.
This phone hardly lags.	This phone does not lag.
Little of the liquid spilled.	None of the liquid spilled.
Little of the liquid spilled.	Lots of the liquid spilled.
One seldom sees such birds.	One doesn't see such birds.
One seldom sees such birds.	One never sees such birds.
None of them supported her.	Few of them supported her.
None of them supported her.	One of them supported her.
None of them supported her.	Two of them supported her.
None of them supported her.	Twenty of them supported her.
We were friends at no time.	We were friends in no time.
I can't stop reading this book.	I am not reading this book.
